year,meanPop
2010,96836.3862908392
2011,97675.98302370275
2012,98480.57078795644
2013,99241.14606021781
2014,100058.20211402947
2015,100822.40711082639
2016,101472.27065983345
2017,102250.61499039078
2018,102855.72261370915
