year,avgHrt
2006,74.5113969274741
2007,72.05498392282958
2008,70.03990710968203
2009,68.60964630225081
2010,67.49056806002143
2011,66.84526616648803
2012,66.483922829582
2013,66.57802786709539
2014,66.80371561271883
2015,67.36834583779921
2016,67.8076455877099
2017,68.24962486602358
2018,68.20460878885316
2019,70.14376563058235
