year,means
2010,43606.75077784692
2011,44614.939016801494
2012,44977.56378344742
2013,45259.08120721842
2014,45847.37616677038
2015,46130.17330429371
2016,47250.62570006223
2017,48989.6104542626
2018,50782.680771624146
